Country,Name,Weather,Temp,Humidity,Rain,Visibility,Wind speed,Clouds
KE,Meru,Rain,293.6,84,1.38,7849,1.67,92
CG,Brazzavile Department,Rain,303.2,66,1.04,10000,1.54,75
CN,Fuxin,Clouds,271.61,52,,10000,4.93,99
CN,Wuwei,Clouds,277.47,30,,10000,2.83,49
TR,Mersin,Clouds,290.42,68,,10000,2.5,100
IN,Bhopal,Haze,298.22,36,,3000,1.03,20
CD,Lubumbashi,Clouds,302.28,40,,10000,3.37,77
ID,Denpasar,Clouds,300.77,83,,10000,1.54,40
PH,Davao City,Clouds,301.21,74,,10000,2.57,75
CN,Tangjian,Clouds,280.69,66,,10000,4.61,32
TR,Adana,Clouds,293.04,60,,10000,4.63,75
SY,Damascus,Clouds,288.61,51,,10000,2.71,100
